Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Casa,Rua Raul Barroso,Engenho Novo,1.8,1.877,60,2,1,0.0,0
Apartamento,Rua Eudoro Berlinck,Higienópolis,774.0,1.301,70,2,1,0.0,0
Apartamento,Avenida Pastor Martin Luther King Jr,Vicente de Carvalho,1.2,1.762,48,2,1,1.0,0
Apartamento,Estrada Adhemar Bebiano,Del Castilho,1.162,1.561,46,2,1,1.0,0
Apartamento,Rua Vinte E Quatro de Maio,Riachuelo,1.2,1.847,57,2,1,1.0,0
Studio e kitnet,Rua Ubaldino do Amaral,Centro,1.2,1.757,30,1,1,0.0,0
Apartamento,Rua Prazeres,Taquara,1.062,1.423,57,2,1,0.0,0
Apartamento,Rua Santa Clara,Copacabana,2.9,3.785,40,1,1,0.0,1
Studio e kitnet,Rua Voluntários da Pátria,Botafogo,1.881,2.629,36,1,1,0.0,0
Apartamento,Rua Benevenuto Berna,Maracanã,1.469,2.122,60,2,1,0.0,0
Apartamento,Avenida Embaixador Abelardo Bueno,Barra da Tijuca,2.7,4.302,80,2,2,1.0,0
Apartamento,Rua Professor Gabizo,Tijuca,1.789,2.772,74,2,1,1.0,0
Apartamento,Rua Grão Pará,Engenho Novo,1.9,2.78,90,2,2,1.0,0
Apartamento,Avenida Marechal Rondon,Engenho Novo,1.2,2.005,60,2,1,1.0,0
Studio e kitnet,Rua República do Líbano,Centro,1.6,1.662,20,1,1,0.0,0
Apartamento,Rua Dias da Cruz,Méier,1.399,2.104,58,3,1,0.0,0
Apartamento,Rua Goianinha,Curicica,1.5,1.978,47,2,1,1.0,0
Apartamento,Rua Barbosa da Silva,Riachuelo,1.25,1.874,65,2,1,1.0,0
Apartamento,Rua Aristides Caire,Méier,1.1,1.993,60,1,2,1.0,0
Apartamento,Rua Frederico de Albuquerque,Higienópolis,950.0,1.137,35,1,1,0.0,0
Apartamento,Rua Delfina Enes,Penha Circular,1.0,1.098,37,1,1,0.0,0
Casa,Rua Drumond,Olaria,1.64,1.74,65,3,2,0.0,0
Apartamento,Rua Ferreira de Andrade,Cachambi,1.2,1.92,70,2,1,1.0,0
Studio e kitnet,Rua do Resende,Centro,2.0,2.377,31,1,1,1.0,0
Apartamento,Rua Visconde de Itamarati,Maracanã,1.5,2.58,70,2,2,1.0,0
Studio e kitnet,Rua Ronald de Carvalho,Copacabana,2.5,3.565,30,1,1,0.0,0
Apartamento,Rua Cardeal Dom Sebastião Leme,Santa Teresa,2.1,2.604,30,1,1,0.0,0
Apartamento,Rua Campinas do Sul,Curicica,2.2,2.23,81,2,2,0.0,0
Apartamento,Avenida Dom Hélder Câmara,Del Castilho,2.166,2.982,58,3,2,1.0,1
Apartamento,Rua General Clarindo,Engenho de Dentro,950.0,1.587,58,2,1,1.0,0
Apartamento,Rua Joaquim Soares,Piedade,900.0,1.185,60,2,1,0.0,0
Apartamento,Avenida Tenente-coronel Muniz de Aragão,Anil,1.65,2.214,50,2,1,1.0,0
Apartamento,Rua Francisco Otaviano,Ipanema,3.76,6.798,100,1,2,1.0,1
Apartamento,Rua Professor Henrique Costa,Pechincha,1.79,2.43,65,2,2,1.0,1
Apartamento,Rua General Bruce,São Cristóvão,1.298,2.098,58,2,1,0.0,0
Apartamento,Rua Quiririm,Vila Valqueire,1.122,1.831,62,3,2,1.0,0
Apartamento,Avenida Dom Hélder Câmara,Piedade,1.36,1.98,52,2,2,1.0,0
Apartamento,Rua Francisco Fragoso,Encantado,1.05,1.385,70,3,2,0.0,0
Apartamento,Rua Retiro dos Artistas,Pechincha,1.82,2.774,80,3,2,1.0,0
Casa,Travessa Antimio,Bento Ribeiro,880.0,917.0,45,1,1,0.0,0
Apartamento,Rua Piauí,Todos Os Santos,1.5,2.14,50,2,2,1.0,0
Apartamento,Avenida Mem de Sá,Centro,2.8,3.438,98,2,2,0.0,0
Apartamento,Estrada Meringuava,Taquara,1.59,2.192,50,2,2,1.0,0
Casa,Avenida Vicente de Carvalho,Váz Lobo,900.0,1.589,60,2,1,1.0,0
Apartamento,Rua Castro Alves,Méier,932.0,1.694,60,2,1,1.0,0
Apartamento,Rua Voluntários da Pátria,Humaitá,2.6,3.829,60,2,1,0.0,0
Apartamento,Rua Francisca Sáles,Freguesia (jacarepaguá),1.812,2.673,58,2,2,1.0,0
