Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Rua Benevenuto Berna,Maracanã,1469,2122,60,2,1,0.0,0
Apartamento,Avenida Embaixador Abelardo Bueno,Barra da Tijuca,2700,4302,80,2,2,1.0,0
Apartamento,Rua Professor Gabizo,Tijuca,1789,2772,74,2,1,1.0,0
Apartamento,Rua Grão Pará,Engenho Novo,1900,2780,90,2,2,1.0,0
Apartamento,Avenida Marechal Rondon,Engenho Novo,1200,2005,60,2,1,1.0,0
Studio e kitnet,Rua República do Líbano,Centro,1600,1662,20,1,1,0.0,0
Apartamento,Rua Dias da Cruz,Méier,1399,2104,58,3,1,0.0,0
Apartamento,Rua Goianinha,Curicica,1500,1978,47,2,1,1.0,0
Apartamento,Rua Barbosa da Silva,Riachuelo,1250,1874,65,2,1,1.0,0
Apartamento,Rua Aristides Caire,Méier,1100,1993,60,1,2,1.0,0
Apartamento,Rua Frederico de Albuquerque,Higienópolis,950,1137,35,1,1,0.0,0
Apartamento,Rua Delfina Enes,Penha Circular,1000,1098,37,1,1,0.0,0
Casa,Rua Drumond,Olaria,1640,1740,65,3,2,0.0,0
Apartamento,Rua Ferreira de Andrade,Cachambi,1200,1920,70,2,1,1.0,0
Studio e kitnet,Rua do Resende,Centro,2000,2377,31,1,1,1.0,0
Apartamento,Rua Visconde de Itamarati,Maracanã,1500,2580,70,2,2,1.0,0
Studio e kitnet,Rua Ronald de Carvalho,Copacabana,2500,3565,30,1,1,0.0,0
Apartamento,Rua Cardeal Dom Sebastião Leme,Santa Teresa,2100,2604,30,1,1,0.0,0
Apartamento,Rua Campinas do Sul,Curicica,2200,2230,81,2,2,0.0,0
Apartamento,Avenida Dom Hélder Câmara,Del Castilho,2166,2982,58,3,2,1.0,1
Apartamento,Rua General Clarindo,Engenho de Dentro,950,1587,58,2,1,1.0,0
Apartamento,Rua Joaquim Soares,Piedade,900,1185,60,2,1,0.0,0
Apartamento,Avenida Tenente-coronel Muniz de Aragão,Anil,1650,2214,50,2,1,1.0,0
Apartamento,Rua Francisco Otaviano,Ipanema,3760,6798,100,1,2,1.0,1
Apartamento,Rua Professor Henrique Costa,Pechincha,1790,2430,65,2,2,1.0,1
Apartamento,Rua General Bruce,São Cristóvão,1298,2098,58,2,1,0.0,0
Apartamento,Rua Quiririm,Vila Valqueire,1122,1831,62,3,2,1.0,0
Apartamento,Avenida Dom Hélder Câmara,Piedade,1360,1980,52,2,2,1.0,0
Apartamento,Rua Francisco Fragoso,Encantado,1050,1385,70,3,2,0.0,0
Apartamento,Rua Retiro dos Artistas,Pechincha,1820,2774,80,3,2,1.0,0
Casa,Travessa Antimio,Bento Ribeiro,880,917,45,1,1,0.0,0
Apartamento,Rua Piauí,Todos Os Santos,1500,2140,50,2,2,1.0,0
Apartamento,Avenida Mem de Sá,Centro,2800,3438,98,2,2,0.0,0
Apartamento,Estrada Meringuava,Taquara,1590,2192,50,2,2,1.0,0
Casa,Avenida Vicente de Carvalho,Váz Lobo,900,1589,60,2,1,1.0,0
Apartamento,Rua Castro Alves,Méier,932,1694,60,2,1,1.0,0
Apartamento,Rua Voluntários da Pátria,Humaitá,2600,3829,60,2,1,0.0,0
Apartamento,Rua Francisca Sáles,Freguesia (jacarepaguá),1812,2673,58,2,2,1.0,0
Apartamento,Estrada Mapuá,Jacarepaguá,1600,2048,46,2,1,1.0,0
Apartamento,Rua Carolina Santos,Lins de Vasconcelos,1300,2092,66,3,1,1.0,0
Apartamento,Rua Eulina Ribeiro,Engenho de Dentro,1500,2278,65,3,2,1.0,0
Apartamento,Rua Conde de Bonfim,Tijuca,1518,2536,60,1,1,1.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,3300,4051,49,2,1,1.0,1
Apartamento,Avenida Henrique Dumont,Ipanema,15000,18540,150,3,3,1.0,0
Apartamento,Rua Afonso Ferreira,Engenho de Dentro,1087,1451,41,2,1,1.0,0
Apartamento,Rua Quiririm,Vila Valqueire,1403,1571,60,2,1,0.0,0
Apartamento,Rua Afonso Pena,Tijuca,2500,3699,64,2,2,0.0,0
Apartamento,Rua Camaraipe,Taquara,1150,1194,35,1,1,0.0,0
Apartamento,Rua Dionísio,Penha,1000,1476,56,3,1,0.0,0
Apartamento,Rua Visconde de Santa Isabel,Vila Isabel,1669,2329,64,2,2,1.0,0
Apartamento,Rua Marquês de Jacarepaguá,Taquara,1443,2361,65,3,2,1.0,0
Apartamento,Rua Patagônia,Penha,1300,1810,77,2,1,1.0,0
Apartamento,Rua Tompson Flores,Méier,1000,1626,58,1,1,1.0,0
Apartamento,Travessa Manuel Lôbo,Maria da Graça,1500,1795,80,2,1,1.0,0
Apartamento,Estrada da Covanca,Pechincha,1200,1929,88,2,2,1.0,0
Apartamento,Estrada do Engenho D'agua,Anil,2800,3724,70,3,2,1.0,1
Apartamento,Rua Bacairis,Taquara,1073,1711,60,1,1,1.0,0
Apartamento,Avenida Geremário Dantas,Tanque,1390,1983,70,2,2,0.0,0
Apartamento,Rua Fagundes Varela,Encantado,1500,1558,63,2,2,0.0,0
Studio e kitnet,Rua do Resende,Centro,1000,1638,20,1,1,0.0,0
Apartamento,Rua Americana,Cachambi,1100,1493,65,2,1,0.0,0
Apartamento,Avenida Ministro Edgard Romero,Madureira,1200,1660,43,2,1,1.0,0
Apartamento,Rua Oswaldo Lussac,Taquara,980,1388,52,2,1,1.0,0
Apartamento,Rua Mário Pederneiras,Humaitá,3765,5664,85,2,2,1.0,0
Apartamento,Rua Frei Leandro,Lagoa,4700,6274,83,3,3,1.0,0
Apartamento,Rua Comendador Pinto,Campinho,1500,2243,49,2,1,1.0,0
Apartamento,Rua Jacuruta,Penha,1628,2261,53,2,2,1.0,0
Apartamento,Rua Domingos Ferreira,Copacabana,2125,2898,35,1,1,0.0,0
Apartamento,Avenida Vicente de Carvalho,Vicente de Carvalho,900,1180,64,2,2,0.0,0
Apartamento,Estrada do Engenho D'água,Anil,2200,2785,55,2,1,1.0,0
Studio e kitnet,Rua Visconde de Santa Isabel,Grajau,1500,2037,30,1,1,0.0,1
Apartamento,Rua General Ribeiro da Costa,Leme,3200,4241,50,1,2,0.0,1
Apartamento,Avenida Marechal Rondon,São Francisco Xavier,1500,2368,58,2,2,1.0,0
Apartamento,Estrada Coronel Pedro Corrêa,Jacarepaguá,3000,3975,65,2,2,1.0,1
Apartamento,Rua Professor Henrique Costa,Pechincha,1325,1777,52,2,2,1.0,0
Apartamento,Rua Monte Santo,Irajá,1807,2296,54,2,2,1.0,0
